@relation solar-flare_2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute largest_spot_size {A,R,S,X,K,H}
@attribute spot_distribution {X,O,I,C}
@attribute Activity {'\'(-inf-1.5]\'','\'(1.5-inf)\''}
@attribute Evolution {'\'(-inf-2.5]\'','\'(2.5-inf)\''}
@attribute Previous_24_hour_flare_activity_code {'\'(-inf-2.5]\'','\'(2.5-inf)\''}
@attribute Historically-complex {'\'(-inf-1.5]\'','\'(1.5-inf)\''}
@attribute Did_region_become_historically_complex {'\'(-inf-1.5]\'','\'(1.5-inf)\''}
@attribute Area {'\'(-inf-1.5]\'','\'(1.5-inf)\''}
@attribute Area_of_the_largest_spot {'\'All\''}
@attribute C-class_flares_production_by_this_region {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute M-class_flares_production_by_this_region {'\'All\''}
@attribute X-class_flares_production_by_this_region {'\'All\''}
@attribute class {H,D,C,B,E,F}

@data
A,I,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',D
X,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
A,I,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,O,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
A,I,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',F
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',H
A,I,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
X,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
S,I,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
A,C,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',F
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
A,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
A,I,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
X,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',C
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
A,I,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',F
A,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,I,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
A,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,I,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,O,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',C
S,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
A,I,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',H
A,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
H,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
X,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
R,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,I,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,O,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
H,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
X,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',H
X,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
R,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',C
R,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
S,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,O,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
H,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
X,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
X,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
R,C,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
R,I,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
K,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',C
S,X,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
X,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
K,C,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
A,I,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
R,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
R,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
K,C,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
R,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,O,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
S,O,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
X,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
A,C,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(2.5-inf)\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
A,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
R,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',H
H,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
K,C,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(2.5-inf)\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',F
A,O,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',E
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',D
S,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
H,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',C
X,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',B
K,C,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',F
A,O,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
S,I,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
S,X,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
R,I,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
A,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',D
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,O,'\'(1.5-inf)\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',C
S,O,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
K,I,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',F
R,O,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',E
R,I,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
R,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
A,I,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',D
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',C
S,X,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
S,X,'\'(1.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',H
A,I,'\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-2.5]\'','\'(1.5-inf)\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',F
R,I,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(0.5-inf)\'','\'All\'','\'All\'',C
S,O,'\'(-inf-1.5]\'','\'(2.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(1.5-inf)\'','\'(-inf-1.5]\'','\'All\'','\'(-inf-0.5]\'','\'All\'','\'All\'',D
